"Sample_id","num_consistent_probes","percent_consistent_probes"
"48",58,92.0634920634921
"49",62,98.4126984126984
"50",60,95.2380952380952
"51",61,96.8253968253968
"52",61,96.8253968253968
"53",61,96.8253968253968
"54",60,95.2380952380952
"55",61,96.8253968253968
"56",62,98.4126984126984
"57",61,96.8253968253968
"58",62,98.4126984126984
"59",59,93.6507936507936
"60",60,95.2380952380952
"61",57,90.4761904761905
"62",61,96.8253968253968
"63",59,93.6507936507936
"64",57,90.4761904761905
"65",59,93.6507936507936
"66",61,96.8253968253968
"68",61,96.8253968253968
"69",61,96.8253968253968
"70",60,95.2380952380952
"71",63,100
"72",62,98.4126984126984
"73",60,95.2380952380952
"75",61,96.8253968253968
"76",58,92.0634920634921
"77",62,98.4126984126984
"aaiC47",63,100
"aggR11",63,100
"zNegative_1",63,100
"zNegative_2",63,100
"zNegative_3",63,100
"zNegative_4",63,100
"zNegative_5",63,100
"zNegative_6",63,100
"zNegative_7",63,100
"zNegative_8",63,100
"zPCRNeg",63,100
